dt,dt/tau,C,C*tau,C*dt
246,2.46,0.0002857666015625,0.028576660156250003,0.07029858398437501
247,2.47,0.0002608642578125,0.02608642578125,0.0644334716796875
248,2.48,0.000330078125,0.033007812500000004,0.08185937500000001
249,2.49,0.00035760498046875,0.035760498046875,0.08904364013671875
250,2.5,0.0004072265625,0.040722656249999996,0.101806640625
251,2.51,0.0003343505859375,0.03343505859375,0.08392199707031249
252,2.52,0.00035260009765625,0.035260009765625,0.088855224609375
253,2.53,0.00035107421875,0.035107421874999996,0.08882177734374999
254,2.54,0.000432373046875,0.0432373046875,0.10982275390625
255,2.55,0.00032421875,0.032421875,0.08267578125000001
256,2.56,0.00030242919921875,0.030242919921875,0.077421875
257,2.57,0.0003719482421875,0.03719482421875,0.09559069824218751
258,2.58,0.00048046875,0.048046875,0.12396093749999999
259,2.59,0.0004061279296875,0.04061279296875,0.1051871337890625
260,2.6,0.00031939697265625,0.031939697265625,0.083043212890625
261,2.61,0.000296875,0.0296875,0.077484375
262,2.62,0.0003720703125,0.03720703125,0.097482421875
263,2.63,0.00033648681640625,0.033648681640625,0.08849603271484374
264,2.64,0.00032525634765625,0.032525634765625,0.08586767578125
265,2.65,0.00045361328125,0.045361328125,0.12020751953125
266,2.66,0.00042059326171875,0.042059326171875,0.1118778076171875
267,2.67,0.00030621337890625,0.030621337890625003,0.08175897216796875
268,2.68,0.00035906982421875,0.035906982421875,0.096230712890625
269,2.69,0.00025433349609375,0.025433349609375,0.06841571044921875
270,2.7,0.00029998779296875,0.029998779296875,0.0809967041015625
271,2.71,0.00030352783203125,0.030352783203125,0.08225604248046875
272,2.72,0.00026727294921875,0.026727294921875,0.0726982421875
273,2.73,0.00031207275390625,0.031207275390625004,0.08519586181640626
274,2.74,0.00040399169921875,0.040399169921875,0.1106937255859375
275,2.75,0.00039544677734375,0.039544677734375,0.10874786376953126
276,2.76,0.0002861328125,0.028613281249999997,0.07897265625
277,2.77,0.0002763671875,0.027636718749999997,0.07655371093749999
278,2.78,0.0003419189453125,0.03419189453125,0.095053466796875
279,2.79,0.000227294921875,0.022729492187500002,0.063415283203125
280,2.8,0.00027728271484375,0.027728271484375,0.07763916015625
281,2.81,0.00037994384765625,0.037994384765625,0.10676422119140624
282,2.82,0.0002327880859375,0.02327880859375,0.065646240234375
283,2.83,0.000247314453125,0.024731445312499996,0.069989990234375
284,2.84,0.00021588134765625,0.021588134765625,0.061310302734374995
285,2.85,0.00022076416015625,0.022076416015625,0.06291778564453125
286,2.86,0.00022930908203125,0.022930908203125,0.0655823974609375
287,2.87,0.00025738525390625,0.025738525390625,0.07386956787109375
288,2.88,0.000236083984375,0.0236083984375,0.0679921875
289,2.89,0.00029278564453125,0.029278564453125,0.08461505126953124
290,2.9,0.00024884033203125,0.024884033203125,0.0721636962890625
291,2.91,0.00029425048828125,0.029425048828124998,0.08562689208984374
292,2.92,0.0002437744140625,0.024377441406250002,0.07118212890625
293,2.93,0.00026385498046875,0.026385498046875004,0.07730950927734376
294,2.94,0.00030731201171875,0.030731201171875,0.0903497314453125
295,2.95,0.0003507080078125,0.03507080078125,0.10345886230468751
296,2.96,0.00025537109375,0.025537109375000002,0.07558984375
297,2.97,0.00021258544921875,0.021258544921875,0.06313787841796875
298,2.98,0.0002745361328125,0.02745361328125,0.081811767578125
299,2.99,0.00016741943359375,0.016741943359375,0.050058410644531245
300,3.0,0.00018475341796875,0.018475341796875,0.055426025390625
301,3.01,0.000197509765625,0.0197509765625,0.059450439453125004
302,3.02,0.0002093505859375,0.02093505859375,0.06322387695312501
303,3.03,0.0002276611328125,0.02276611328125,0.0689813232421875
304,3.04,0.00017022705078125,0.017022705078125002,0.0517490234375
305,3.05,0.0001007080078125,0.01007080078125,0.0307159423828125
306,3.06,0.0001541748046875,0.015417480468749998,0.047177490234374994
307,3.07,0.0002470703125,0.02470703125,0.0758505859375
308,3.08,0.00025970458984375,0.025970458984375,0.079989013671875
309,3.09,0.0002344970703125,0.02344970703125,0.0724595947265625
310,3.1,0.0002564697265625,0.02564697265625,0.079505615234375
311,3.11,0.000242919921875,0.0242919921875,0.075548095703125
312,3.12,0.00027117919921875,0.027117919921874997,0.08460791015625
313,3.13,0.000187255859375,0.0187255859375,0.058611083984375
314,3.14,0.00025469970703125,0.025469970703125,0.07997570800781251
315,3.15,0.00023388671875,0.023388671875,0.07367431640625
316,3.16,0.0002816162109375,0.02816162109375,0.08899072265625
317,3.17,0.00019573974609375,0.019573974609375,0.062049499511718745
318,3.18,0.0002052001953125,0.02052001953125,0.065253662109375
319,3.19,0.00024261474609375,0.024261474609375,0.07739410400390626
320,3.2,0.00026788330078125,0.026788330078125002,0.08572265625
321,3.21,0.0002430419921875,0.024304199218750003,0.0780164794921875
322,3.22,0.00023828125,0.023828125,0.0767265625
323,3.23,0.00019677734375,0.019677734375000002,0.06355908203125
324,3.24,0.00017462158203125,0.017462158203125,0.056577392578125
325,3.25,0.0001702880859375,0.01702880859375,0.0553436279296875
326,3.26,0.0002525634765625,0.02525634765625,0.082335693359375
327,3.27,0.00025592041015625,0.025592041015624997,0.08368597412109374
328,3.28,0.0002392578125,0.02392578125,0.0784765625
329,3.29,0.00023388671875,0.023388671875,0.07694873046874999
330,3.3,0.0002567138671875,0.02567138671875,0.08471557617187501
331,3.31,0.00033868408203125,0.033868408203125006,0.11210443115234375
332,3.32,0.0003297119140625,0.03297119140625,0.10946435546875
333,3.33,0.00024285888671875,0.024285888671875002,0.08087200927734375
334,3.34,7.0068359375e-05,0.0070068359375,0.023402832031249998
335,3.35,0.000162109375,0.0162109375,0.054306640625
336,3.36,0.00022491455078125,0.022491455078125,0.0755712890625
337,3.37,0.00024212646484375,0.024212646484375,0.08159661865234376
338,3.38,0.00028851318359375,0.028851318359375003,0.0975174560546875
339,3.39,0.00030157470703125,0.030157470703124998,0.10223382568359375
340,3.4,0.00021490478515625,0.021490478515624998,0.07306762695312499
341,3.41,0.0002061767578125,0.02061767578125,0.07030627441406251
342,3.42,0.000247802734375,0.024780273437499997,0.08474853515624999
343,3.43,0.00028448486328125,0.028448486328124998,0.09757830810546875
344,3.44,0.0001767578125,0.017675781249999998,0.060804687499999996
345,3.45,0.000203857421875,0.0203857421875,0.070330810546875
346,3.46,0.000193115234375,0.019311523437500002,0.06681787109375001
347,3.47,0.000164794921875,0.0164794921875,0.057183837890625006
348,3.48,7.879638671875e-05,0.007879638671875,0.027421142578125
349,3.49,0.0001038818359375,0.01038818359375,0.036254760742187496
350,3.5,0.000237548828125,0.0237548828125,0.08314208984375
351,3.51,0.0001478271484375,0.014782714843750001,0.051887329101562504
352,3.52,0.00019207763671875,0.019207763671875,0.067611328125
353,3.53,0.00010003662109375,0.010003662109375,0.03531292724609375
354,3.54,0.00014544677734375,0.014544677734375,0.0514881591796875
355,3.55,0.00020819091796875,0.020819091796875,0.07390777587890625
356,3.56,0.0001885986328125,0.01885986328125,0.06714111328125
357,3.57,0.0001473388671875,0.01473388671875,0.0525999755859375
358,3.58,0.00014263916015625,0.014263916015625001,0.051064819335937504
359,3.59,8.294677734375e-05,0.008294677734375,0.02977789306640625
360,3.6,7.989501953125e-05,0.007989501953125,0.028762207031249997
361,3.61,5.8837890625e-05,0.0058837890624999995,0.021240478515624998
362,3.62,0.00010662841796875,0.010662841796875001,0.0385994873046875
363,3.63,0.0001107177734375,0.01107177734375,0.0401905517578125
364,3.64,3.936767578125e-05,0.003936767578125,0.014329833984375
365,3.65,2.197265625e-05,0.002197265625,0.00802001953125
366,3.66,9.295654296875e-05,0.009295654296874999,0.0340220947265625
367,3.67,6.99462890625e-05,0.00699462890625,0.0256702880859375
368,3.68,0.0001015625,0.01015625,0.037375
369,3.69,0.0001007080078125,0.01007080078125,0.0371612548828125
370,3.7,0.0001552734375,0.01552734375,0.057451171875
371,3.71,0.0002281494140625,0.02281494140625,0.0846434326171875
372,3.72,0.00016339111328125,0.016339111328125,0.060781494140625
373,3.73,0.0001270751953125,0.01270751953125,0.047399047851562494
374,3.74,0.00017138671875,0.017138671874999997,0.0640986328125
375,3.75,0.00014453125,0.014453124999999999,0.05419921875
376,3.76,0.00017431640625,0.017431640624999998,0.06554296875
377,3.77,9.375e-05,0.009375,0.03534375
378,3.78,0.0001434326171875,0.01434326171875,0.054217529296875004
379,3.79,0.0001431884765625,0.014318847656250001,0.0542684326171875
380,3.8,0.0001343994140625,0.01343994140625,0.05107177734375
381,3.81,0.0001658935546875,0.01658935546875,0.0632054443359375
382,3.82,0.000193603515625,0.0193603515625,0.07395654296875
383,3.83,0.00017694091796875,0.017694091796875,0.06776837158203125
384,3.84,0.00011773681640625,0.011773681640625,0.0452109375
385,3.85,0.00015325927734375,0.015325927734375001,0.05900482177734375
386,3.86,9.65576171875e-05,0.009655761718750001,0.037271240234375
387,3.87,0.00012164306640625,0.012164306640625,0.04707586669921875
388,3.88,0.0001719970703125,0.01719970703125,0.06673486328125
389,3.89,0.000158447265625,0.0158447265625,0.061635986328125
390,3.9,0.00017694091796875,0.017694091796875,0.0690069580078125
391,3.91,0.00022772216796875,0.022772216796874998,0.08903936767578124
392,3.92,0.0002188720703125,0.021887207031249998,0.0857978515625
393,3.93,0.00015667724609375,0.015667724609375003,0.06157415771484375
394,3.94,0.00011553955078125,0.011553955078125,0.0455225830078125
395,3.95,0.00013055419921875,0.013055419921874999,0.05156890869140625
396,3.96,0.000159912109375,0.0159912109375,0.0633251953125
397,3.97,0.0001488037109375,0.01488037109375,0.059075073242187505
398,3.98,0.000116943359375,0.0116943359375,0.04654345703125
399,3.99,6.5185546875e-05,0.006518554687500001,0.026009033203125
400,4.0,0.0001324462890625,0.01324462890625,0.052978515625
401,4.01,0.00011529541015625,0.011529541015625,0.04623345947265625
402,4.02,0.00015338134765625,0.015338134765624999,0.0616593017578125
403,4.03,0.00012432861328125,0.012432861328125,0.05010443115234375
404,4.04,9.893798828125e-05,0.009893798828125,0.039970947265625
405,4.05,8.905029296875e-05,0.008905029296875,0.03606536865234375
406,4.06,2.423095703125e-05,0.002423095703125,0.009837768554687501
407,4.07,6.0791015625e-05,0.0060791015625,0.024741943359375
408,4.08,4.290771484375e-05,0.004290771484375,0.017506347656249997
409,4.09,5.55419921875e-05,0.00555419921875,0.0227166748046875
410,4.1,0.00011724853515625,0.011724853515625,0.0480718994140625
411,4.11,0.00011041259765625,0.011041259765625,0.04537957763671875
412,4.12,0.0002464599609375,0.02464599609375,0.10154150390625001
413,4.13,7.75146484375e-05,0.00775146484375,0.0320135498046875
414,4.14,0.00010198974609375,0.010198974609375,0.0422237548828125
415,4.15,0.0001558837890625,0.015588378906249999,0.06469177246093749
416,4.16,6.84814453125e-05,0.006848144531250001,0.028488281250000004
417,4.17,0.00018597412109375,0.018597412109375,0.07755120849609376
418,4.18,7.354736328125e-05,0.007354736328125,0.030742797851562503
419,4.19,7.71484375e-05,0.00771484375,0.0323251953125
420,4.2,0.00012286376953125,0.012286376953124999,0.051602783203124995
421,4.21,5.23681640625e-05,0.00523681640625,0.0220469970703125
422,4.22,3.131103515625e-05,0.0031311035156250003,0.013213256835937501
423,4.23,0.0001329345703125,0.013293457031249999,0.0562313232421875
424,4.24,0.0001573486328125,0.01573486328125,0.0667158203125
425,4.25,0.00017645263671875,0.017645263671875,0.07499237060546875
426,4.26,6.72607421875e-05,0.00672607421875,0.028653076171875003
427,4.27,3.948974609375e-05,0.003948974609375,0.01686212158203125
428,4.28,4.3212890625e-05,0.0043212890625,0.0184951171875
429,4.29,0.0001533203125,0.01533203125,0.0657744140625
430,4.3,0.0001563720703125,0.01563720703125,0.06723999023437499
431,4.31,0.00017266845703125,0.017266845703125002,0.07442010498046875
432,4.32,0.000134765625,0.0134765625,0.05821875000000001
433,4.33,0.00014105224609375,0.014105224609375,0.06107562255859375
434,4.34,7.67822265625e-05,0.00767822265625,0.033323486328125
435,4.35,7.5439453125e-05,0.0075439453125,0.032816162109375
436,4.36,3.131103515625e-05,0.0031311035156250003,0.013651611328125
437,4.37,-1.983642578125e-05,-0.001983642578125,-0.00866851806640625
438,4.38,7.7392578125e-05,0.0077392578125,0.03389794921875
439,4.39,8.148193359375e-05,0.008148193359375,0.035770568847656246
440,4.4,0.0001116943359375,0.01116943359375,0.0491455078125
441,4.41,0.00013623046875,0.013623046875000001,0.06007763671875001
442,4.42,7.94677734375e-05,0.007946777343750001,0.035124755859375
443,4.43,0.00019610595703125,0.019610595703125,0.08687493896484375
444,4.44,0.00012335205078125,0.012335205078125,0.054768310546875
445,4.45,8.89892578125e-05,0.008898925781249999,0.0396002197265625
446,4.46,-1.72119140625e-05,-0.0017211914062499997,-0.0076765136718749995
447,4.47,0.0001114501953125,0.01114501953125,0.0498182373046875
448,4.48,0.00011419677734375,0.011419677734375,0.05116015625
449,4.49,0.0001153564453125,0.01153564453125,0.051795043945312494
450,4.5,0.000143310546875,0.014331054687499999,0.06448974609375
451,4.51,5.859375e-05,0.005859375,0.02642578125
452,4.52,0.00010699462890625,0.010699462890624999,0.048361572265625
453,4.53,0.00010052490234375,0.010052490234375,0.04553778076171875
454,4.54,6.903076171875e-05,0.006903076171875,0.0313399658203125
455,4.55,0.00011376953125,0.011376953125,0.05176513671875
456,4.56,9.58251953125e-05,0.00958251953125,0.043696289062500004
457,4.57,0.00013165283203125,0.013165283203125,0.06016534423828125
458,4.58,9.185791015625e-05,0.009185791015625,0.0420709228515625
459,4.59,9.716796875e-05,0.009716796875000001,0.044600097656250004
460,4.6,8.4228515625e-05,0.0084228515625,0.0387451171875
461,4.61,0.00010589599609375,0.010589599609375,0.04881805419921875
462,4.62,0.000128173828125,0.0128173828125,0.05921630859375
463,4.63,8.514404296875e-05,0.008514404296875,0.03942169189453125
464,4.64,0.00016876220703125,0.016876220703125,0.0783056640625
465,4.65,8.89892578125e-05,0.008898925781249999,0.0413800048828125
466,4.66,6.744384765625e-05,0.006744384765625,0.0314288330078125
467,4.67,9.259033203125e-05,0.009259033203125,0.04323968505859375
468,4.68,0.000172119140625,0.0172119140625,0.0805517578125
469,4.69,7.928466796875e-05,0.007928466796875,0.03718450927734375
470,4.7,4.034423828125e-05,0.0040344238281250005,0.0189617919921875
471,4.71,8.697509765625e-05,0.008697509765625,0.040965270996093754
472,4.72,0.00011517333984375,0.011517333984375,0.05436181640625
473,4.73,5.401611328125e-05,0.005401611328125,0.02554962158203125
474,4.74,3.6376953125e-05,0.0036376953124999997,0.017242675781249998
475,4.75,5.023193359375e-05,0.005023193359375,0.023860168457031247
476,4.76,3.338623046875e-05,0.003338623046875,0.015891845703125
477,4.77,6.243896484375e-05,0.006243896484375,0.029783386230468747
478,4.78,9.1552734375e-05,0.0091552734375,0.04376220703125
479,4.79,8.428955078125e-05,0.008428955078125,0.04037469482421875
480,4.8,3.72314453125e-05,0.00372314453125,0.01787109375
481,4.81,0.00016534423828125,0.016534423828125002,0.07953057861328125
482,4.82,0.00015240478515625,0.015240478515625,0.07345910644531249
483,4.83,5.65185546875e-05,0.0056518554687500005,0.027298461914062502
484,4.84,0.00014697265625,0.014697265624999999,0.071134765625
485,4.85,0.0001165771484375,0.01165771484375,0.056539916992187494
486,4.86,0.000151611328125,0.0151611328125,0.07368310546875
487,4.87,0.0001220703125,0.01220703125,0.0594482421875
488,4.88,0.00010113525390625,0.010113525390625,0.04935400390625
489,4.89,5.816650390625e-05,0.005816650390625,0.02844342041015625
490,4.9,4.296875e-05,0.0042968749999999995,0.0210546875
491,4.91,5.633544921875e-05,0.005633544921875001,0.027660705566406252
492,4.92,4.766845703125e-05,0.0047668457031250005,0.023452880859375
493,4.93,3.41796875e-05,0.0034179687500000004,0.016850585937500002
494,4.94,5.975341796875e-05,0.0059753417968749995,0.0295181884765625
495,4.95,2.642822265625e-05,0.002642822265625,0.01308197021484375
496,4.96,0.0001146240234375,0.011462402343749999,0.056853515624999997
497,4.97,9.088134765625e-05,0.009088134765625,0.04516802978515625
498,4.98,1.824951171875e-05,0.001824951171875,0.0090882568359375
499,4.99,0.00011474609375,0.011474609375,0.05725830078124999
500,5.0,6.591796875e-06,0.0006591796875,0.0032958984375
501,5.01,0.0001396484375,0.013964843749999999,0.0699638671875
502,5.02,0.0001781005859375,0.01781005859375,0.089406494140625
503,5.03,0.00012103271484375,0.012103271484375,0.060879455566406254
504,5.04,0.000121337890625,0.0121337890625,0.061154296875
505,5.05,9.637451171875e-05,0.009637451171875,0.04866912841796875
506,5.06,0.0001875,0.01875,0.094875
507,5.07,0.00018939208984375,0.018939208984375,0.09602178955078125
508,5.08,0.0001014404296875,0.01014404296875,0.051531738281249996
509,5.09,0.00013177490234375,0.013177490234374999,0.06707342529296874
510,5.1,0.0001209716796875,0.01209716796875,0.061695556640624996
511,5.11,0.00011767578125,0.011767578124999999,0.06013232421875
512,5.12,6.121826171875e-05,0.006121826171874999,0.03134375
513,5.13,4.229736328125e-05,0.004229736328125,0.021698547363281247
514,5.14,0.000117919921875,0.0117919921875,0.06061083984375
515,5.15,0.000112060546875,0.0112060546875,0.057711181640625005
516,5.16,0.00015264892578125,0.015264892578125,0.07876684570312499
517,5.17,0.0001463623046875,0.01463623046875,0.0756693115234375
518,5.18,8.7890625e-05,0.0087890625,0.04552734375
519,5.19,0.00010205078125,0.010205078125,0.052964355468749995
520,5.2,0.0001175537109375,0.01175537109375,0.0611279296875
521,5.21,9.716796875e-05,0.009716796875000001,0.05062451171875
522,5.22,8.831787109375e-05,0.008831787109375001,0.046101928710937504
523,5.23,3.582763671875e-05,0.0035827636718749997,0.01873785400390625
524,5.24,3.0517578125e-06,0.00030517578125,0.0015991210937500002
525,5.25,9.19189453125e-05,0.00919189453125,0.0482574462890625
526,5.26,6.695556640625e-05,0.006695556640625,0.035218627929687496
527,5.27,0.00014337158203125,0.014337158203125002,0.07555682373046875
528,5.28,0.00013629150390625,0.013629150390625,0.07196191406250001
529,5.29,1.953125e-06,0.0001953125,0.001033203125
530,5.3,-3.86962890625e-05,-0.00386962890625,-0.020509033203125
531,5.31,-1.336669921875e-05,-0.001336669921875,-0.00709771728515625
532,5.32,8.135986328125e-05,0.008135986328124999,0.043283447265625
533,5.33,7.373046875e-05,0.007373046875,0.03929833984375
534,5.34,8.746337890625e-05,0.008746337890625,0.0467054443359375
535,5.35,0.00011248779296875,0.011248779296875,0.06018096923828125
536,5.36,0.00015899658203125,0.015899658203125,0.08522216796875
537,5.37,0.0001617431640625,0.01617431640625,0.0868560791015625
538,5.38,0.0002056884765625,0.02056884765625,0.110660400390625
539,5.39,1.470947265625e-05,0.0014709472656249999,0.00792840576171875
540,5.4,9.417724609375e-05,0.009417724609374999,0.050855712890624995
541,5.41,2.79541015625e-05,0.0027954101562500003,0.015123168945312501
542,5.42,4.50439453125e-05,0.00450439453125,0.024413818359375
543,5.43,0.00012701416015625,0.012701416015625,0.06896868896484375
544,5.44,7.122802734375e-05,0.007122802734375,0.038748046875000004
545,5.45,5.419921875e-05,0.005419921875,0.02953857421875
546,5.46,7.21435546875e-05,0.007214355468749999,0.039390380859375
547,5.47,0.00010467529296875,0.010467529296875,0.05725738525390625
