t,C,C*t
314,0.000131226,0.0412048
315,-5.18799e-05,-0.0163422
316,-3.35693e-05,-0.0106079
317,1.83105e-05,0.00580444
318,-0.000288086,-0.0916113
319,-7.62939e-05,-0.0243378
320,-0.000170898,-0.0546875
321,-3.2959e-05,-0.0105798
322,-9.0332e-05,-0.0290869
323,-9.76563e-06,-0.0031543
324,4.45557e-05,0.014436
325,-0.000160522,-0.0521698
326,-0.000212402,-0.0692432
327,-0.000223389,-0.0730481
328,-0.0002948,-0.0966943
329,-0.000470581,-0.154821
330,-0.000504761,-0.166571
331,-0.000568237,-0.188087
332,-0.000403442,-0.133943
333,0.000164795,0.0548767
334,-0.000113525,-0.0379175
335,-0.000187988,-0.0629761
336,2.68555e-05,0.00902344
337,-0.000126343,-0.0425775
338,-0.000193481,-0.0653967
339,-0.000128174,-0.0434509
340,-0.000106812,-0.0363159
341,-0.000211792,-0.0722211
342,0.000133057,0.0455054
343,1.58691e-05,0.00544312
344,-0.000335693,-0.115479
345,-9.82666e-05,-0.033902
346,-0.000115967,-0.0401245
347,7.75146e-05,0.0268976
348,8.97217e-05,0.0312231
349,0.000223999,0.0781757
350,0.000134277,0.0469971
351,0.000161743,0.0567719
352,0.000240479,0.0846484
353,-0.000178223,-0.0629126
354,-0.000107422,-0.0380273
355,-5.00488e-05,-0.0177673
356,-1.70898e-05,-0.00608398
357,6.46973e-05,0.0230969
358,6.5918e-05,0.0235986
359,-0.000229492,-0.0823877
360,0.000338135,0.121729
361,0.000547485,0.197642
362,0.000497437,0.180072
363,-4.5166e-05,-0.0163953
364,-0.000446777,-0.162627
365,-0.000155029,-0.0565857
366,-0.000147705,-0.0540601
367,-8.72803e-05,-0.0320319
368,5.49316e-06,0.00202148
369,-9.46045e-05,-0.0349091
370,0.000244751,0.0905579
371,-0.000126343,-0.0468732
372,-0.000134277,-0.0499512
373,0.000133057,0.0496301
374,-4.57764e-05,-0.0171204
375,0.000161133,0.0604248
376,0.000108643,0.0408496
377,0.00015625,0.0589063
378,0.000145874,0.0551404
379,5.5542e-05,0.0210504
380,0.000269165,0.102283
381,0.000401001,0.152781
382,0.000270996,0.103521
383,0.000297241,0.113843
384,0.000270386,0.103828
385,0.000159912,0.0615662
386,0.000122681,0.0473547
387,0.0003125,0.120938
388,4.88281e-06,0.00189453
389,0.000184937,0.0719403
390,0.00012146,0.0473694
391,-0.000112915,-0.0441498
392,-0.00024292,-0.0952246
393,-0.000282593,-0.111059
394,0.000240479,0.0947485
395,9.15527e-05,0.0361633
396,0.000101318,0.0401221
397,0.000159912,0.0634851
398,-7.26318e-05,-0.0289075
399,0.00026001,0.103744
400,0.000170288,0.0681152
401,0.000230713,0.0925159
402,0.000195313,0.0785156
403,-6.34766e-05,-0.0255811
404,-0.00031311,-0.126497
405,-0.000455322,-0.184406
406,3.66211e-05,0.0148682
407,0.00015564,0.0633453
408,4.88281e-06,0.00199219
409,-0.000237427,-0.0971075
410,0.000152588,0.062561
411,-6.71387e-06,-0.0027594
412,-0.000101929,-0.0419946
413,0.000161743,0.0667999
414,3.60107e-05,0.0149084
415,-0.000239258,-0.099292
416,-0.000176392,-0.0733789
417,-0.000245972,-0.10257
418,5.31006e-05,0.022196
419,0.00015625,0.0654688
420,-5.61523e-05,-0.023584
421,-0.000144043,-0.0606421
422,-0.000261841,-0.110497
423,-0.000462646,-0.195699
424,-0.000150757,-0.0639209
425,-3.72314e-05,-0.0158234
426,0.000109863,0.0468018
427,-0.000331421,-0.141517
428,-0.000286255,-0.122517
429,-0.000345459,-0.148202
430,0.000132446,0.0569519
431,0.000301514,0.129952
432,7.69043e-05,0.0332227
433,4.63867e-05,0.0200854
434,7.93457e-06,0.0034436
435,9.52148e-05,0.0414185
436,-2.99072e-05,-0.0130396
437,-8.60596e-05,-0.037608
438,-0.000126953,-0.0556055
439,0.000211792,0.0929767
440,0.000258789,0.113867
441,0.000229492,0.101206
442,-0.000170288,-0.0752673
443,6.22559e-05,0.0275793
444,1.64795e-05,0.00731689
445,9.09424e-05,0.0404694
