observation_distance,batch_size,gamma,eps_start,eps_end,eps_decay,tau,lr,memory_size,current
2,512,0.6,0.9,0.1,100000,0.0001,0.1,100000,0.2563718140929535
2,512,0.3,0.9,0.1,600000,0.01,0.01,100000,0.2463768115942029
1,512,0.3,0.9,0.1,600000,0.01,0.01,100000,0.2428785607196401
2,512,0.6,0.9,0.1,600000,0.01,0.1,100000,0.239880059970015
2,512,0.3,0.9,0.1,600000,0.0001,0.01,100000,0.2353823088455772
2,512,0.6,0.9,0.1,600000,0.0001,0.1,100000,0.2348825587206396
1,512,0.6,0.9,0.1,600000,0.01,0.001,100000,0.2343828085957021
2,512,0.3,0.9,0.1,600000,0.0001,0.001,1000,0.2338830584707646
1,512,0.6,0.9,0.1,600000,0.0001,0.01,100000,0.2328835582208895
2,512,0.6,0.9,0.1,600000,0.01,0.01,100000,0.2313843078460769
1,512,0.6,0.9,0.1,600000,0.0001,0.001,100000,0.2313843078460769
1,512,0.999,0.9,0.1,600000,0.0001,0.01,100000,0.2303848075962019
1,512,0.3,0.9,0.1,600000,0.0001,0.001,100000,0.2298850574712643
2,512,0.3,0.9,0.1,600000,0.0001,0.01,1000,0.2293853073463268
2,512,0.3,0.9,0.1,600000,0.0001,0.001,100000,0.2288855572213893
2,512,0.6,0.9,0.1,600000,0.01,0.001,100000,0.2288855572213893
2,512,0.6,0.9,0.1,600000,0.0001,0.01,100000,0.2283858070964518
1,512,0.999,0.9,0.1,600000,0.0001,0.1,100000,0.2283858070964518
1,512,0.3,0.9,0.1,600000,0.0001,0.01,100000,0.2268865567216391
1,512,0.3,0.9,0.1,600000,0.01,0.1,100000,0.2268865567216391
1,512,0.999,0.9,0.1,600000,0.0001,0.001,100000,0.2268865567216391
2,512,0.3,0.9,0.1,600000,0.01,0.1,100000,0.2253873063468265
1,512,0.6,0.9,0.1,600000,0.0001,0.1,100000,0.2243878060969515
1,512,0.6,0.9,0.1,600000,0.01,0.01,100000,0.2243878060969515
1,512,0.6,0.9,0.1,600000,0.01,0.1,100000,0.2243878060969515
2,512,0.999,0.9,0.1,600000,0.0001,0.01,100000,0.2228885557221389
2,512,0.999,0.9,0.1,600000,0.01,0.001,100000,0.2218890554722638
2,512,0.3,0.9,0.1,600000,0.01,0.001,100000,0.2213893053473263
2,512,0.999,0.9,0.1,600000,0.0001,0.001,100000,0.2198900549725137
2,512,0.999,0.9,0.1,600000,0.01,0.1,100000,0.2198900549725137
1,512,0.3,0.9,0.1,600000,0.0001,0.1,100000,0.2193903048475762
1,512,0.999,0.9,0.1,5000,0.01,0.001,100000,0.2183908045977011
2,512,0.999,0.9,0.1,600000,0.0001,0.1,100000,0.217391304347826
2,512,0.3,0.9,0.1,600000,0.0001,0.1,100000,0.216391804097951
2,512,0.6,0.9,0.1,600000,0.0001,0.001,100000,0.216391804097951
2,512,0.3,0.9,0.1,600000,0.0001,0.001,1000000,0.2103948025987006
1,512,0.3,0.9,0.1,600000,0.01,0.001,100000,0.2048975512243878
2,512,0.999,0.9,0.1,600000,0.01,0.01,100000,0.2028985507246377
2,512,0.999,0.9,0.1,100000,0.01,0.01,100000,0.1994002998500749
1,512,0.999,0.9,0.1,600000,0.01,0.01,100000,0.1904047976011994
1,512,0.999,0.9,0.1,600000,0.01,0.1,100000,0.1754122938530734
2,512,0.999,0.9,0.1,100000,0.0001,0.1,100000,0.1754122938530734
1,512,0.999,0.9,0.1,5000,0.01,0.1,100000,0.1709145427286356
1,512,0.999,0.9,0.1,600000,0.01,0.001,100000,0.1704147926036981
